date,coupon
2023-11-22,17.96
2024-05-22,13.63
2024-11-20,14.15
2025-05-21,14.99
2025-11-18,15.33
2026-05-19,15.31
2026-11-17,15.31
2027-05-18,15.31
2027-11-16,15.31
2028-05-16,15.31
2028-11-14,15.31
2029-05-15,15.31
2029-11-13,15.31
2030-05-14,15.31
2030-11-12,15.31
2031-05-13,15.31
2031-11-11,15.31
2032-05-11,15.31
2032-11-09,15.31
2033-05-10,15.31
