date,coupon
2021-01-27,11.62
2021-07-28,13.13
2022-01-26,13.59
2022-07-27,15.45
2023-01-25,15.34
2023-07-26,15.83
2024-01-24,16.34
2024-07-24,17.06
2025-01-22,17.73
2025-07-23,18.81
2026-01-21,18.98
2026-07-21,18.98
2027-01-19,18.98
2027-07-20,18.98
2028-01-18,18.98
2028-07-18,18.98
2029-01-16,18.98
2029-07-17,18.98
2030-01-15,18.98
2030-07-16,18.98
