date,coupon
2018-08-15,10.22
2019-02-13,12.87
2019-08-14,13.3
2020-02-12,13.34
2020-08-12,13.71
2021-02-10,13.89
2021-08-11,14.49
2022-02-09,15.02
2022-08-10,17.04
2023-02-08,16.89
2023-08-09,17.44
2024-02-07,18.05
2024-08-07,18.82
2025-02-05,19.58
2025-08-06,20.73
2026-02-04,20.88
2026-08-05,20.88
2027-02-03,20.88
2027-08-04,20.88
2028-02-02,20.88
